,"species","M(g)","B(W)"
10,"Macropus eugenii",4796,7.78
11,"Macropus robustus",30000,34.46
12,"Macrotis lagotis",1477,2.79
13,"Marmosa microtarsus",13,0.13
14,"Manis crassicaudata",15910,6.99
15,"Manis javanica",4220,6.23
16,"Manis tricupis",2730,4.63
17,"Citellus undulatus",680,3.31
18,"Clethrionomys gapperi",23,0.26
19,"Clethrionomys glareolus",20.5,0.27
20,"Clethrionomys rufocanus",27.5,0.31
21,"eliophobius kapeti",89,0.44
22,"Heliosciurus rufobrachium",271,0.9
23,"Heterocephalus glaber",39,0.14
24,"Spermophilus undulatus",1000,4.5
25,"Stochomys longicaudatus",82.33,0.55
26,"Tachyoryctes splendens",234,0.92
27,"Tamias amoenus",57,0.54
28,"Tamias merriami",75,0.44
29,"Tamias striatus",87.4,0.51
30,"Tamiasciurus hudsonicus",224,1.41
31,"Tatera indica",86.8,0.43
32,"Thomomys bottae",143,0.68
33,"Thomomys talpoides",82.6,0.55
34,"Thomomys umbrinus",95.3,0.46
35,"Trichomys apereoides",323,1.16
36,"Zapus hudsonicus",30,0.25
37,"Ptilocercus lowii",57.5,0.24
38,"Trichechus inunguis",170000,46.91
